in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 21:28,2021/11/19 21:29,32,28 43,28 54,29 05,27,22,47,46,83,44,43,84,19
2021/11/19 21:29,2021/11/19 21:29,28,29 02,29 13,29 36,26,22,46,45,83,45,44,83,19
2021/11/19 21:29,2021/11/19 21:30,28,29 21,29 44,30 04,26,23,46,45,83,44,44,84,19
2021/11/19 21:30,2021/11/19 21:30,29,29 49,30 13,30 32,26,23,46,45,83,45,45,83,19
2021/11/19 21:30,2021/11/19 21:31,23,30 17,30 40,31 01,26,22,46,45,84,43,43,83,18
2021/11/19 21:31,2021/11/19 21:31,0,30 45,31 09,31 24,26,22,46,45,84,44,44,83,0
2021/11/19 21:31,2021/11/19 21:32,29,31 14,31 33,31 49,26,22,46,45,84,44,44,83,0
2021/11/19 21:32,2021/11/19 21:32,30,31 37,31 58,32 18,26,22,46,45,82,44,44,82,8
2021/11/19 21:32,2021/11/19 21:33,31,32 02,32 26,32 48,27,22,46,45,83,45,44,84,19
2021/11/19 21:33,2021/11/19 21:33,29,32 31,32 57,33 19,25,23,46,45,82,44,44,84,19
2021/11/19 21:33,2021/11/19 21:34,46,33 01,33 27,33 49,27,22,46,45,83,44,45,82,18
2021/11/19 21:34,2021/11/19 21:35,59,33 32,33 57,34 34,26,22,46,45,82,44,44,82,19
2021/11/19 21:35,2021/11/19 21:36,45,34 02,34 43,35 33,26,22,46,45,84,43,44,84,18
2021/11/19 21:36,2021/11/19 21:36,47,34 47,35 41,36 19,26,23,46,45,84,42,43,83,18
2021/11/19 21:36,2021/11/19 21:37,44,35 46,36 27,37 05,26,22,46,45,83,44,43,83,19
2021/11/19 21:37,2021/11/19 21:38,44,36 32,37 14,37 49,25,22,46,45,83,44,45,82,19
2021/11/19 21:38,2021/11/19 21:39,87,37 19,37 57,38 33,26,23,46,45,84,43,43,84,18
2021/11/19 21:39,2021/11/19 21:40,46,38 02,38 41,40 00,26,22,46,45,83,44,44,82,19
2021/11/19 21:40,2021/11/19 21:41,46,38 46,40 08,40 46,26,23,46,45,85,42,43,84,19
2021/11/19 21:41,2021/11/19 21:42,42,40 13,40 54,41 33,26,23,46,45,84,42,42,83,19
2021/11/19 21:42,2021/11/19 21:42,41,40 59,41 41,42 14,26,23,46,45,84,44,43,84,18
2021/11/19 21:42,2021/11/19 21:43,24,41 46,42 22,42 56,26,23,46,45,83,42,42,82,18
2021/11/19 21:43,2021/11/19 21:43,23,42 27,43 04,43 19,26,22,46,46,84,43,43,85,18
2021/11/19 21:43,2021/11/19 21:44,37,43 09,43 28,43 42,26,23,47,45,83,45,44,83,19
2021/11/19 21:44,2021/11/19 21:44,30,43 32,43 51,44 19,26,22,46,45,82,44,43,82,18
2021/11/19 21:44,2021/11/19 21:44,24,43 55,44 28,44 50,26,22,46,45,83,43,43,83,19
2021/11/19 21:44,2021/11/19 21:45,30,44 32,44 58,45 13,27,22,46,45,83,44,43,84,19
2021/11/19 21:45,2021/11/19 21:45,24,45 03,45 21,45 43,26,21,46,45,83,45,45,83,19
2021/11/19 21:45,2021/11/19 21:46,37,45 26,45 51,46 07,26,22,46,45,83,45,45,81,18
2021/11/19 21:46,2021/11/19 21:47,30,45 56,46 16,46 45,26,22,46,45,83,44,44,83,19
2021/11/19 21:47,2021/11/19 21:47,30,46 21,46 53,47 14,26,22,46,45,84,43,43,84,17
2021/11/19 21:47,2021/11/19 21:47,24,46 58,47 23,47 44,26,22,46,45,82,45,46,82,20
2021/11/19 21:47,2021/11/19 21:48,25,47 27,47 53,48 08,26,23,46,46,83,44,43,83,18
2021/11/19 21:48,2021/11/19 21:48,25,47 57,48 16,48 33,26,23,46,45,82,45,46,82,19
2021/11/19 21:48,2021/11/19 21:49,25,48 21,48 41,48 58,26,22,46,45,83,42,43,83,19
2021/11/19 21:49,2021/11/19 21:49,25,48 46,49 07,49 23,26,21,46,45,84,42,43,83,19
2021/11/19 21:50,2021/11/19 21:50,0,49 36,49 57,50 14,26,22,46,45,84,44,43,83,19
2021/11/19 21:50,2021/11/19 21:50,26,50 02,50 22,50 39,27,22,46,45,84,44,44,84,19
2021/11/19 21:50,2021/11/19 21:51,30,50 26,50 47,51 04,27,22,46,45,82,43,43,82,18
2021/11/19 21:51,2021/11/19 21:52,81,52 19,52 27,52 36,26,22,46,45,83,44,43,83,18
2021/11/19 21:56,2021/11/19 21:57,73,57 17,57 25,57 35,26,22,46,45,83,44,44,83,36
2021/11/19 21:57,2021/11/19 21:58,22,57 36,57 48,57 57,27,22,46,46,83,44,44,82,37
2021/11/19 21:58,2021/11/19 21:58,30,57 55,58 05,58 16,27,22,47,46,84,44,44,84,19
2021/11/19 21:58,2021/11/19 21:59,32,58 14,58 25,58 46,26,23,46,45,82,44,44,83,19
2021/11/19 21:59,2021/11/19 21:59,33,58 33,58 54,59 18,26,22,46,45,85,43,45,83,19
2021/11/19 21:59,2021/11/19 22:00,33,58 59,59 27,59 51,26,22,46,45,84,43,45,83,18
2021/11/19 22:00,2021/11/19 22:00,32,59 31,00 00,00 24,26,22,46,45,83,43,42,84,18
2021/11/19 22:00,2021/11/19 22:01,35,00 05,00 33,00 56,26,23,46,45,84,44,43,85,20
