组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
自动,空闲,否,否,否,2021-11-19 22:10:11
堵线,空闲,否,否,否,2021-11-19 22:10:24
等料,空闲,否,否,否,2021-11-19 22:11:17
自动,空闲,否,否,否,2021-11-19 22:15:22
自动,运行中,否,否,否,2021-11-19 22:15:40
堵线,运行中,否,否,否,2021-11-19 22:17:21
自动,运行中,否,否,否,2021-11-19 22:17:29
堵线,运行中,否,否,否,2021-11-19 22:17:48
自动,运行中,否,否,否,2021-11-19 22:17:53
堵线,运行中,否,否,否,2021-11-19 22:18:12
自动,运行中,否,否,否,2021-11-19 22:18:21
堵线,运行中,否,否,否,2021-11-19 22:18:34
自动,运行中,否,否,否,2021-11-19 22:18:42
堵线,运行中,否,否,否,2021-11-19 22:18:58
自动,运行中,否,否,否,2021-11-19 22:19:11
堵线,运行中,否,否,否,2021-11-19 22:19:30
自动,运行中,否,否,否,2021-11-19 22:19:32
堵线,运行中,否,否,否,2021-11-19 22:19:52
自动,运行中,否,否,否,2021-11-19 22:19:59
堵线,运行中,否,否,否,2021-11-19 22:20:19
自动,运行中,否,否,否,2021-11-19 22:20:21
堵线,运行中,否,否,否,2021-11-19 22:20:40
自动,运行中,否,否,否,2021-11-19 22:20:48
堵线,运行中,否,否,否,2021-11-19 22:21:07
自动,运行中,否,否,否,2021-11-19 22:21:10
堵线,运行中,否,否,否,2021-11-19 22:21:27
自动,运行中,否,否,否,2021-11-19 22:21:30
堵线,运行中,否,否,否,2021-11-19 22:21:49
自动,运行中,否,否,否,2021-11-19 22:21:58
堵线,运行中,否,否,否,2021-11-19 22:22:11
自动,运行中,否,否,否,2021-11-19 22:22:16
堵线,运行中,否,否,否,2021-11-19 22:22:35
自动,运行中,否,否,否,2021-11-19 22:22:51
堵线,运行中,否,否,否,2021-11-19 22:23:07
自动,运行中,否,否,否,2021-11-19 22:23:15
堵线,运行中,否,否,否,2021-11-19 22:23:31
自动,运行中,否,否,否,2021-11-19 22:23:36
堵线,运行中,否,否,否,2021-11-19 22:23:55
自动,运行中,否,否,否,2021-11-19 22:24:00
堵线,运行中,否,否,否,2021-11-19 22:24:19
等料,运行中,否,否,否,2021-11-19 22:24:30
自动,运行中,否,否,否,2021-11-19 22:25:13
堵线,运行中,否,否,否,2021-11-19 22:25:31
等料,运行中,否,否,否,2021-11-19 22:25:37
自动,运行中,否,否,否,2021-11-19 22:25:55
等料,运行中,否,否,否,2021-11-19 22:26:20
自动,运行中,否,否,否,2021-11-19 22:26:59
等料,运行中,否,否,否,2021-11-19 22:27:18
自动,运行中,否,否,否,2021-11-19 22:27:50
等料,运行中,否,否,否,2021-11-19 22:28:50
自动,运行中,否,否,否,2021-11-19 22:29:18
等料,运行中,否,否,否,2021-11-19 22:29:55
自动,运行中,否,否,否,2021-11-19 22:30:02
堵线,运行中,否,否,否,2021-11-19 22:30:17
等料,运行中,否,否,否,2021-11-19 22:30:23
自动,运行中,否,否,否,2021-11-19 22:31:08
等料,运行中,否,否,否,2021-11-19 22:31:27
等料,空闲,否,否,否,2021-11-19 22:31:44
等料,运行中,否,否,否,2021-11-19 22:31:47
自动,运行中,否,否,否,2021-11-19 23:35:08
等料,运行中,否,否,否,2021-11-19 23:35:33
等料,空闲,否,否,否,2021-11-19 23:35:36
等料,运行中,否,否,否,2021-11-19 23:35:41
自动,运行中,否,否,否,2021-11-19 23:36:12
自动,空闲,否,否,否,2021-11-19 23:36:40
堵线,空闲,否,否,否,2021-11-19 23:36:50
自动,空闲,否,否,否,2021-11-19 23:44:39
堵线,空闲,否,否,否,2021-11-19 23:44:58
自动,空闲,否,否,否,2021-11-19 23:45:43
暂停,空闲,否,否,否,2021-11-19 23:47:58
自动,空闲,否,否,否,2021-11-19 23:48:51
自动,运行中,否,否,否,2021-11-19 23:49:51
堵线,运行中,否,否,否,2021-11-19 23:51:30
自动,运行中,否,否,否,2021-11-19 23:51:37
堵线,运行中,否,否,否,2021-11-19 23:51:50
自动,空闲,否,否,否,2021-11-19 23:52:01
自动,运行中,否,否,否,2021-11-19 23:52:12
堵线,运行中,否,否,否,2021-11-19 23:52:23
自动,运行中,否,否,否,2021-11-19 23:52:34
堵线,运行中,否,否,否,2021-11-19 23:53:33
自动,运行中,否,否,否,2021-11-19 23:53:57
堵线,运行中,否,否,否,2021-11-19 23:54:16
自动,运行中,否,否,否,2021-11-19 23:54:38
堵线,运行中,否,否,否,2021-11-19 23:54:51
自动,运行中,否,否,否,2021-11-19 23:55:15
等料,运行中,否,否,否,2021-11-19 23:55:21
自动,运行中,否,否,否,2021-11-19 23:56:16
等料,运行中,否,否,否,2021-11-19 23:56:37
等料,空闲,否,否,否,2021-11-19 23:56:46
自动,空闲,否,否,否,2021-11-19 23:57:04
等料,空闲,否,否,否,2021-11-19 23:57:23
自动,空闲,否,否,否,2021-11-19 23:57:43
等料,空闲,否,否,否,2021-11-19 23:58:07
自动,空闲,否,否,否,2021-11-19 23:58:23
自动,运行中,否,否,否,2021-11-19 23:58:28
自动,空闲,否,否,否,2021-11-19 23:59:02
自动,运行中,否,否,否,2021-11-19 23:59:05
自动,空闲,否,否,否,2021-11-20 00:00:56
等料,空闲,否,否,否,2021-11-20 00:01:17
自动,空闲,否,否,否,2021-11-20 00:04:55
自动,运行中,否,否,否,2021-11-20 00:05:11
堵线,运行中,否,否,否,2021-11-20 00:06:53
自动,运行中,否,否,否,2021-11-20 00:07:17
堵线,运行中,否,否,否,2021-11-20 00:07:36
自动,运行中,否,否,否,2021-11-20 00:08:12
堵线,运行中,否,否,否,2021-11-20 00:08:25
自动,运行中,否,否,否,2021-11-20 00:08:38
堵线,运行中,否,否,否,2021-11-20 00:08:58
自动,运行中,否,否,否,2021-11-20 00:09:18
暂停,运行中,否,否,否,2021-11-20 00:09:47
自动,运行中,否,否,否,2021-11-20 00:09:55
自动,空闲,否,否,否,2021-11-20 00:10:33
堵线,空闲,否,否,否,2021-11-20 00:10:49
等料,空闲,否,否,否,2021-11-20 00:12:45
自动,空闲,否,否,否,2021-11-20 00:18:52
自动,运行中,否,否,否,2021-11-20 00:26:19
堵线,运行中,否,否,否,2021-11-20 00:28:04
自动,运行中,否,否,否,2021-11-20 00:28:21
堵线,运行中,否,否,否,2021-11-20 00:28:34
自动,运行中,否,否,否,2021-11-20 00:28:47
堵线,运行中,否,否,否,2021-11-20 00:29:06
自动,运行中,否,否,否,2021-11-20 00:29:25
堵线,运行中,否,否,否,2021-11-20 00:29:44
自动,运行中,否,否,否,2021-11-20 00:29:55
堵线,运行中,否,否,否,2021-11-20 00:30:14
自动,运行中,否,否,否,2021-11-20 00:30:43
堵线,运行中,否,否,否,2021-11-20 00:31:02
自动,运行中,否,否,否,2021-11-20 00:31:29
堵线,运行中,否,否,否,2021-11-20 00:31:48
自动,运行中,否,否,否,2021-11-20 00:32:08
堵线,运行中,否,否,否,2021-11-20 00:32:27
自动,运行中,否,否,否,2021-11-20 00:32:40
堵线,运行中,否,否,否,2021-11-20 00:33:00
自动,运行中,否,否,否,2021-11-20 00:34:08
堵线,运行中,否,否,否,2021-11-20 00:34:22
自动,运行中,否,否,否,2021-11-20 00:34:24
自动,空闲,否,否,否,2021-11-20 00:34:31
堵线,空闲,否,否,否,2021-11-20 00:34:44
自动,空闲,否,否,否,2021-11-20 00:34:58
堵线,空闲,否,否,否,2021-11-20 00:35:11
自动,空闲,否,否,否,2021-11-20 00:35:31
自动,运行中,否,否,否,2021-11-20 00:38:12
堵线,运行中,否,否,否,2021-11-20 00:39:52
自动,空闲,否,否,否,2021-11-20 00:40:07
堵线,空闲,否,否,否,2021-11-20 00:40:20
自动,空闲,否,否,否,2021-11-20 00:40:30
堵线,空闲,否,否,否,2021-11-20 00:40:50
自动,空闲,否,否,否,2021-11-20 00:41:03
等料,空闲,否,否,否,2021-11-20 00:41:09
等料,运行中,否,否,否,2021-11-20 00:41:30
自动,运行中,否,否,否,2021-11-20 00:41:41
堵线,运行中,否,否,否,2021-11-20 00:43:09
自动,运行中,否,否,否,2021-11-20 00:43:15
堵线,运行中,否,否,否,2021-11-20 00:44:04
自动,运行中,否,否,否,2021-11-20 00:44:15
堵线,运行中,否,否,否,2021-11-20 00:44:50
自动,运行中,否,否,否,2021-11-20 00:44:55
堵线,运行中,否,否,否,2021-11-20 00:45:14
自动,运行中,否,否,否,2021-11-20 00:45:20
堵线,运行中,否,否,否,2021-11-20 00:45:39
自动,运行中,否,否,否,2021-11-20 00:45:55
堵线,运行中,否,否,否,2021-11-20 00:46:14
自动,运行中,否,否,否,2021-11-20 00:46:33
堵线,运行中,否,否,否,2021-11-20 00:47:18
自动,运行中,否,否,否,2021-11-20 00:47:38
堵线,运行中,否,否,否,2021-11-20 00:47:51
自动,运行中,否,否,否,2021-11-20 00:47:59
堵线,运行中,否,否,否,2021-11-20 00:48:18
自动,运行中,否,否,否,2021-11-20 00:48:29
堵线,运行中,否,否,否,2021-11-20 00:48:48
自动,运行中,否,否,否,2021-11-20 00:49:02
堵线,运行中,否,否,否,2021-11-20 00:49:15
自动,运行中,否,否,否,2021-11-20 00:49:59
堵线,运行中,否,否,否,2021-11-20 00:50:51
堵线,空闲,否,否,否,2021-11-20 00:50:59
自动,空闲,否,否,否,2021-11-20 00:51:09
堵线,空闲,否,否,否,2021-11-20 00:51:29
等料,空闲,否,否,否,2021-11-20 00:51:40
暂停,空闲,否,否,否,2021-11-20 00:55:54
自动,空闲,否,否,否,2021-11-20 00:56:12
等料,空闲,否,否,否,2021-11-20 00:56:29
自动,空闲,否,否,否,2021-11-20 00:59:57
自动,运行中,否,否,否,2021-11-20 01:00:33
堵线,运行中,否,否,否,2021-11-20 01:02:33
自动,运行中,否,否,否,2021-11-20 01:02:52
堵线,运行中,否,否,否,2021-11-20 01:03:11
自动,运行中,否,否,否,2021-11-20 01:03:22
堵线,运行中,否,否,否,2021-11-20 01:03:36
自动,运行中,否,否,否,2021-11-20 01:03:50
堵线,运行中,否,否,否,2021-11-20 01:04:03
等料,空闲,否,否,否,2021-11-20 01:04:14
自动,空闲,否,否,否,2021-11-20 01:04:20
堵线,空闲,否,否,否,2021-11-20 01:04:36
堵线,运行中,否,否,否,2021-11-20 01:04:38
自动,运行中,否,否,否,2021-11-20 01:04:44
堵线,运行中,否,否,否,2021-11-20 01:05:03
自动,空闲,否,否,否,2021-11-20 01:05:14
堵线,空闲,否,否,否,2021-11-20 01:05:36
等料,空闲,否,否,否,2021-11-20 01:05:43
自动,空闲,否,否,否,2021-11-20 01:14:11
自动,运行中,否,否,否,2021-11-20 01:14:42
堵线,运行中,否,否,否,2021-11-20 01:16:41
自动,运行中,否,否,否,2021-11-20 01:16:50
堵线,运行中,否,否,否,2021-11-20 01:17:03
自动,运行中,否,否,否,2021-11-20 01:17:11
堵线,运行中,否,否,否,2021-11-20 01:17:30
自动,运行中,否,否,否,2021-11-20 01:17:38
堵线,运行中,否,否,否,2021-11-20 01:17:57
自动,运行中,否,否,否,2021-11-20 01:18:02
堵线,运行中,否,否,否,2021-11-20 01:18:22
自动,运行中,否,否,否,2021-11-20 01:18:33
堵线,运行中,否,否,否,2021-11-20 01:18:47
自动,运行中,否,否,否,2021-11-20 01:19:43
堵线,运行中,否,否,否,2021-11-20 01:19:46
自动,运行中,否,否,否,2021-11-20 01:19:56
堵线,运行中,否,否,否,2021-11-20 01:20:16
自动,运行中,否,否,否,2021-11-20 01:20:24
堵线,运行中,否,否,否,2021-11-20 01:20:43
自动,运行中,否,否,否,2021-11-20 01:20:48
堵线,运行中,否,否,否,2021-11-20 01:21:08
自动,运行中,否,否,否,2021-11-20 01:21:18
堵线,运行中,否,否,否,2021-11-20 01:21:38
自动,运行中,否,否,否,2021-11-20 01:22:04
堵线,运行中,否,否,否,2021-11-20 01:22:25
自动,运行中,否,否,否,2021-11-20 01:22:59
堵线,运行中,否,否,否,2021-11-20 01:23:18
自动,运行中,否,否,否,2021-11-20 01:23:26
堵线,运行中,否,否,否,2021-11-20 01:23:45
