state1,state2,state3,state4,state4,time
2,1,0,0,0,2021/11/20 2:26
1,1,0,0,0,2021/11/20 2:26
2,1,0,0,0,2021/11/20 2:26
1,1,0,0,0,2021/11/20 2:26
2,1,0,0,0,2021/11/20 2:27
1,1,0,0,0,2021/11/20 2:27
2,1,0,0,0,2021/11/20 2:27
1,1,0,0,0,2021/11/20 2:27
2,1,0,0,0,2021/11/20 2:28
1,1,0,0,0,2021/11/20 2:28
2,1,0,0,0,2021/11/20 2:28
1,1,0,0,0,2021/11/20 2:29
2,1,0,0,0,2021/11/20 2:29
1,1,0,0,0,2021/11/20 2:30
2,1,0,0,0,2021/11/20 2:30
1,1,0,0,0,2021/11/20 2:31
2,1,0,0,0,2021/11/20 2:31
1,1,0,0,0,2021/11/20 2:32
2,1,0,0,0,2021/11/20 2:32
1,1,0,0,0,2021/11/20 2:32
2,1,0,0,0,2021/11/20 2:33
1,1,0,0,0,2021/11/20 2:34
2,1,0,0,0,2021/11/20 2:34
1,1,0,0,0,2021/11/20 2:36
2,1,0,0,0,2021/11/20 2:36
1,1,0,0,0,2021/11/20 2:36
2,1,0,0,0,2021/11/20 2:36
1,1,0,0,0,2021/11/20 2:37
2,1,0,0,0,2021/11/20 2:37
1,1,0,0,0,2021/11/20 2:38
2,1,0,0,0,2021/11/20 2:39
1,1,0,0,0,2021/11/20 2:39
2,1,0,0,0,2021/11/20 2:40
1,1,0,0,0,2021/11/20 2:40
2,1,0,0,0,2021/11/20 2:40
1,1,0,0,0,2021/11/20 2:41
2,1,0,0,0,2021/11/20 2:41
1,1,0,0,0,2021/11/20 2:42
2,1,0,0,0,2021/11/20 2:42
1,1,0,0,0,2021/11/20 2:42
2,1,0,0,0,2021/11/20 2:43
1,1,0,0,0,2021/11/20 2:43
2,1,0,0,0,2021/11/20 2:43
1,1,0,0,0,2021/11/20 2:44
2,1,0,0,0,2021/11/20 2:44
1,1,0,0,0,2021/11/20 2:44
2,1,0,0,0,2021/11/20 2:45
1,1,0,0,0,2021/11/20 2:46
2,1,0,0,0,2021/11/20 2:46
1,1,0,0,0,2021/11/20 2:47
2,1,0,0,0,2021/11/20 2:47
1,1,0,0,0,2021/11/20 2:48
2,1,0,0,0,2021/11/20 2:49
1,1,0,0,0,2021/11/20 2:50
2,1,0,0,0,2021/11/20 2:51
1,1,0,0,0,2021/11/20 2:51
2,1,0,0,0,2021/11/20 2:51
1,1,0,0,0,2021/11/20 2:52
2,1,0,0,0,2021/11/20 2:52
1,1,0,0,0,2021/11/20 2:53
2,1,0,0,0,2021/11/20 2:53
1,1,0,0,0,2021/11/20 2:53
2,1,0,0,0,2021/11/20 2:54
3,1,0,0,0,2021/11/20 2:54
1,1,0,0,0,2021/11/20 2:54
2,1,0,0,0,2021/11/20 2:55
1,1,0,0,0,2021/11/20 2:55
2,1,0,0,0,2021/11/20 2:55
1,1,0,0,0,2021/11/20 2:56
2,1,0,0,0,2021/11/20 2:56
1,1,0,0,0,2021/11/20 2:56
2,1,0,0,0,2021/11/20 2:57
1,1,0,0,0,2021/11/20 2:57
2,1,0,0,0,2021/11/20 2:57
1,1,0,0,0,2021/11/20 2:58
2,1,0,0,0,2021/11/20 2:58
1,1,0,0,0,2021/11/20 2:59
2,1,0,0,0,2021/11/20 2:59
1,1,0,0,0,2021/11/20 3:02
2,1,0,0,0,2021/11/20 3:02
1,1,0,0,0,2021/11/20 3:04
2,1,0,0,0,2021/11/20 3:04
1,1,0,0,0,2021/11/20 3:05
